Balance Sheet,Current Assets,Cash and Cash Euivalents,Short term financial investment,Short term Account Receivables,Inventory,Other Current Assets,Non-current Assets,Long term Account Receivable,Fixed assets,Tangible fixed assets - accumulated worp value,Fixed financial leasing assets - accumulated worp value,Invisible fixed assets - accumulated worp value,Commercial advantage,Real Estate Investment,Long term Finacial Investments,Other long term assets,TOTAL ASSETS,Liabilities,Short term Liabilities,Long term Liabilities,Professional Prevention,No different,Owners equity,Expenditures and Other Funds,Owners equity,Benefits of minority shareholders,TOTAL EQUITY,Business results,Gross Sale Revenues,Deduction revenues,Net Sales,Cost of goods sold,Gross profit,Financial activities Revenues,Financial Expenses,Selling Expenses,Managing Expenses,Net Profit from Operating activities,Other incomes,Other Expenses,Other profits,Total profit before tax,Corporate Income Tax Expenses,Corporate Income Tax Expenses,Corporate Income Tax Expenses,Profit after Corporate Income Tax,--- The main accounts ---,EBITDA,Last Price of Quarter
 2016,2051848,99163,101510,1180527,601328,69321,,27073,841117,-35898,0,-616,58745,155768,0,125048,3391714,1908018,975758,932260,0,0,1483696,0,1483696,0,0, 2016,310428,0,310428,172009,138419,4410,22639,3901,27204,89085,6447,5717,731,89815,18925,19558,-633,70891,,1.61,7.39
 2016,1789678,79650,100510,952330,587378,69810,,27420,848780,-30227,0,-593,62342,156726,0,121426,3096951,1705694,803605,902088,0,0,1391257,0,1391257,0,0, 2016,357598,0,357598,246488,111110,2389,21233,7582,25306,59379,205,1677,-1473,57906,10990,9454,1535,46916,,1.23,7.39
 2016,1419923,41278,10,701074,604668,72893,,27421,905988,-24031,0,-571,65940,157756,0,64194,2777327,1787296,864203,923093,0,0,990031,0,990031,0,0, 2016,247353,0,247353,158083,89270,829,12265,6740,21894,49200,84,214,-130,49070,10420,10758,-338,38649,,1.18,8.28
 2015,1531872,44727,10,649898,759509,77728,,27418,44729,-18304,0,-548,69530,158675,0,120810,2621012,1521967,630514,891453,0,0,1099046,0,1099046,0,0, 2015,639404,0,639404,301505,337899,6186,15202,8717,49575,270591,655,4579,-3924,266667,61041,64968,-3927,271820,,1.17,9.66
 2015,1290743,44639,29360,672492,472468,71784,,27418,46044,-19322,0,-548,58583,158675,17900,46007,2667258,1568843,596749,972094,0,0,1098415,0,1098415,0,0, 2015,348725,0,348725,172117,176608,15977,12819,5902,19180,154685,48,4150,-4102,150582,30817,33720,-2904,119766,,1.17,9.66
 2015,885126,58795,860,425277,359235,40960,,28741,43084,-17684,0,-525,61493,159629,126748,48286,2042085,1057986,289122,768864,0,0,984099,0,984099,0,0, 2015,46301,0,46301,20794,25506,1523,1254,915,10524,14336,180,196,-15,14321,3666,5746,-2080,10655,,1.29,10.34
 2015,926677,74469,41310,448953,340955,20989,,27697,37474,-15726,0,-505,64402,160584,17900,49925,1731549,780315,138656,641659,0,0,951234,0,951234,0,0, 2015,125303,0,125303,75604,49699,1869,2241,935,10263,38131,286,105,180,38311,9885,9723,162,28427,,1.47,7.80
 2015,1026424,64912,860,660203,291531,8918,,1991,32809,-14716,0,-485,67312,161508,17858,47431,1679646,719688,206450,513239,0,0,959958,0,959958,121875,0, 2015,173919,0,173919,92371,81549,2853,3890,610,8139,71761,74,128,-54,71707,15656,15818,-162,56051,,1.76,7.49
 2014,957852,40768,10,431685,483902,1487,,25798,29162,-12721,0,-468,70221,162758,17859,124044,1392932,847554,297117,550436,0,0,545379,0,545379,0,0, 2014,448977,53,448924,253451,195473,412,9718,1353,38164,146651,549,4552,-4003,142646,35174,36139,-965,129854,,1.80,6.74
 2014,753516,40768,58735,394550,253867,5596,,98,29352,-13410,0,-468,70221,162758,17859,53633,1392932,847554,274283,573270,0,0,545379,0,545379,79032,0, 2014,254583,-205,254787,133552,121236,284,2159,519,19072,99769,50,3910,-3861,95908,23531,24881,-1349,72377,,1.80,6.74
 2014,494795,14435,10,210123,260774,9453,,2114,27970,-12254,0,-452,26395,163686,16388,46038,941429,449327,163018,286309,0,0,492102,0,492102,58344,0, 2014,93593,0,93593,57311,36282,38,2441,556,7132,26190,117,383,-266,25925,6280,6078,201,19645,,0.00,7.54
 2014,464057,25184,10,143095,285019,10749,,1347,24509,-11217,0,-435,27435,164645,17860,46349,906535,432591,182531,250061,0,0,473944,0,473944,57989,0, 2014,62330,53,62277,39127,23150,-113,3888,182,6831,12137,99,13,86,12223,3482,3198,284,8741,,0.00,0.00
 2013,459247,6424,8010,108773,321288,14753,,1445,153377,-10945,0,-403,0,166563,17861,44173,872182,434722,161464,273258,0,0,400498,0,400498,36963,0, 2014,38471,205,38267,23461,14805,203,1230,95,5129,8553,282,245,37,8590,1881,1982,-101,6709,,0.00,0.00
 2013,459247,6424,8010,108773,321288,14753,,1445,19023,-10945,0,-403,29515,166563,17861,44173,872182,434722,161464,273258,0,0,437460,0,437460,36963,0, 2013,169987,0,169987,101766,68222,1389,13558,917,26577,28560,8492,7264,1228,29788,8534,8986,-452,21253,,0.00,0.00
 2012,490086,6759,10,60515,335479,87324,,1347,24800,-14389,0,-304,31551,170485,17862,42945,891299,481392,183458,297935,0,0,409907,0,409907,31574,0, 2012,168024,0,168024,107631,60393,2678,14692,2688,34952,10735,2154,3907,-1752,8982,4544,4544,0,4438,,0.00,0.00
 2012,490086,6759,0,60515,335479,87324,,1347,137023,-14389,0,-304,31551,170485,17862,42945,891299,481392,183458,297935,0,0,378333,0,378333,31574,0,,,,,,,,,,,,,,,,,,,,,,
